Given Matrix (M size: 4):
| -39.45 -61.08  43.58  60.05  45.98 -47.28  38.28 -12.83   5.32 -74.63 |
|  64.82  -9.29 -33.63 -12.64  76.06  16.98    0.2 -20.87  57.98 -40.17 |
|   8.88   69.9  15.53  71.02   30.4  17.36 -53.09 -37.51  -2.12  39.72 |
|  54.76  74.93 -55.36  29.38   24.5  29.64     15  33.97 -16.87  55.07 |
|  45.67  49.33 -25.92  45.22  32.26 -25.95     26 -59.05 -75.14 -67.82 |
| -68.49   8.46  28.27 -33.29  38.15 -36.93  -7.46 -72.87  70.98 -61.61 | = det(M) = 8.02748e+19(369ms)

Given Matrix (M size: 11):
| -24.91 -45.04  59.13 -60.72 -65.59  69.81 -21.58   4.87 -30.66  69.28   6.82 |
|  19.36  76.54 -13.37 -53.28  16.95  33.23 -49.42  32.86  40.17 -54.42  55.21 |
| -69.67  -6.72 -17.79  52.05  11.54  45.44  51.52 -37.25  56.04 -56.75 -71.72 |
|  -9.93  28.14   51.5 -64.61  -26.1  60.15  -8.49 -44.17 -46.91  18.76  19.15 |
| -20.57  73.64  35.53  -16.7 -52.99  -4.97  21.78  21.95    -28 -72.75  -3.07 |
|    9.8  37.37   37.9  25.04  -2.86  58.41  54.27  24.68  -7.67  18.98   69.1 |
|  49.66 -59.81  14.83  -1.39  -3.69 -19.99 -20.91 -64.25   53.1  27.36 -55.11 |
| -31.76  19.81  -42.2  49.28  43.09   4.16  57.22  65.24 -59.29 -22.52 -37.35 |
|   5.11  -68.1  54.89 -18.02  34.51   1.65  75.05   4.09   7.59  58.44  54.69 |
|  -77.1 -11.66  20.45 -51.33  58.88  -9.81   -5.1 -32.04 -59.68 -50.46   9.36 |
|  -1.65 -39.38  51.83  30.46  45.86  69.54  35.64 -76.77 -50.43   40.5  41.91 | = det(M) = 1.84658e+21(4119ms)

Given Matrix (M size: 12):
|  29.27 -16.56   1.35  -28.6  63.83  66.29   -7.2  60.79  51.98 -71.85 -21.11 -16.42 |
| -71.07 -41.09 -68.61  13.05  18.07 -28.72 -34.33  49.28  15.21  66.89 -54.08   72.6 |
|  20.83  45.42 -61.32 -39.82  64.14  12.89  64.43 -59.59  33.67  10.06   4.38   7.08 |
|  75.83 -15.12 -29.08 -31.01  23.66 -43.67  18.81  23.17   72.5 -62.26  74.45 -26.92 |
| -12.34  -1.12 -68.78  -42.3  66.29  32.69 -45.96  10.39   1.35  42.88  25.18  -8.73 |
|  36.82 -25.66  -66.3  48.33 -24.81 -35.16  73.43 -33.69 -43.58  -3.51  11.02 -69.03 |
|  71.52  58.41 -49.35 -45.59 -15.99  14.76  69.61 -52.97 -49.56     -9  29.24 -16.27 |
|   2.52  31.99 -58.18   1.94  71.73 -34.92  27.33 -36.75  36.68   34.1  28.93  10.13 |
|  -44.3 -31.51  -1.82 -49.39 -33.31  28.01   20.6  -4.75 -66.33  37.73 -41.12 -35.15 |
|  15.55  60.71  33.56    9.7   5.85  -4.15  64.14   7.71 -16.42  68.27   8.93  -24.8 |
| -40.53  18.47  56.84  68.87  69.49  47.86 -38.49 -10.07   39.9  67.98  20.02  11.71 |
|  17.72 -72.47  71.76   3.15  60.19 -74.65 -45.64  18.91 -13.78 -68.64  77.07  23.67 | = det(M) = 7.95363e+22(49418ms)

